description,category,cluster
"📊 Как закрылась основная торговая сессия на российском рынке сегодня? Показываем в инфографике 👆. В лидерах роста и падения отмечаем акции и расписки компаний, которые входят в индекс Мосбиржи IMOEX.. Цифра дня. По данным Московской биржи, общая доля купленных в ходе IPO акций в портфелях частных инвесторов составляет 1,6%. Годом ранее доля была меньше 0,1%.",economy,0
"📊 Как закрылась основная торговая сессия на российском рынке сегодня? Показываем в инфографике 👆. В лидерах роста и падения отмечаем акции и расписки компаний, которые входят в индекс Мосбиржи IMOEX.",economy,0
"📊 Как закрылась основная торговая сессия на российском рынке сегодня? Показываем в инфографике 👆. В лидерах роста и падения отмечаем акции и расписки компаний, которые входят в индекс Мосбиржи IMOEX.. Цифра дня. Минэкономразвития повысило свой прогноз по уровню инфляции в 2024 году до 5,1%. Ранее ведомство прогнозировало 4,5%. В министерстве считают, что к целевому темпу роста цен в 4% российская экономика приблизится в 2025 году.",economy,0
"​​Начали Инвестутро и уже обсуждаем свежие новости!. Прямой аудиоэфир ведущей шоу «Деньги не спят» Ирины Ахмадуллиной стартовал в 11:00 мск. Обсудим:• Предстоящее заседание ЦБ по ставке;• Важные события недели: отчеты компаний Северсталь, Рус. Гидро, Яндекс и других. • Актуальные и интересные инвестидеи. Как подключиться?Через приложение Тинькофф Инвестиции, далее во вкладку Пульс в раздел Эфиры. Также можно просто перейти по ссылке с помощью телефона. Записи эфиров сохраняются в том же разделе.. Слушайте #эфир Пульса!",economy,1
"​​Начали Инвестутро и уже обсуждаем свежие новости!. Прямой аудиоэфир ведущей шоу «Деньги не спят» Ирины Ахмадуллиной стартовал в 11:00 мск. Обсудим:• Что ждать от российского рынка в мае;• Какие компании быстрее всего закрывают дивидендные гэпы;• Важные события недели;• Актуальные и интересные инвестидеи. Как подключиться?Через приложение Тинькофф Инвестиции, далее во вкладку Пульс в раздел Эфиры. Также можно просто перейти по ссылке с помощью телефона. Записи эфиров сохраняются в том же разделе.. Слушайте #эфир Пульса!",economy,1
"​​SFI определилась с суммой дивидендов по итогам прошедшего года. Совет директоров инвестиционной компании Эс. Эф. Ай рекомендовал дивиденды за 2023 год. Размер выплаты — 20,6 рубля на акцию, доходность — около 1,3%. Чтобы получить дивиденды, купить акции нужно до 14 июня. Собрание акционеров, на котором пройдет голосование за выплату, должно состояться 5 июня.. Компания уже выплачивала дивиденды по итогам девяти месяцев 2023 года. Тогда их размер составил 39,42 рубля на акцию, что в сумме за год дает 60,02 рубля на бумагу.#дивиденды",economy,2
"​​🚗 Дивиденды подъехали. Соллерс объявила, сколько заплатит акционерам Совет директоров автопроизводителя Соллерс рекомендовал выплатить дивиденды за 2023 год в размере 89 рублей на акцию. Такой размер выплаты дает дивидендную доходность около 9,2%. Рынок встретил новость позитивом. Акции SVAV прибавляют более 8%. Чтобы попасть в реестр получателей дивидендов, купить акции нужно до 4 июля включительно. Собрание акционеров, на котором пройдет голосование за выплату, назначено на 24 июня. #дивиденды",economy,2
"​​Мал золотник, да дорог. Селигдар определился с финальными дивидендами за прошлый год. Совет директоров золотодобывающей компании Селигдар рекомендовал выплатить дивиденды за 2023 год. Размер будущей выплаты — 2 рубля на акцию. Дивдоходность — около 2,8%. Чтобы получить дивиденды, купить акции нужно 13 июня. Собрание акционеров, на котором пройдет голосование за выплату, назначено на 4 июня.. Ранее добытчик драгоценных металлов уже выплачивал дивиденды по итогам девяти месяцев 2023 года. Тогда выплата составила 2 рубля на акцию.#дивиденды",economy,2
"​​🐟 Дивиденды на закуску Совет директоров Инарктики, производителя аквакультурного лосося, рекомендовал финальные дивиденды за 2023 год. Выплата по итогам четвертого квартала составит 10 рублей на акцию. Дивидендная доходность — около 1,09%. Акционеры должны будут одобрить дивиденды на собрании 27 июня. Чтобы получить выплату, купить акции нужно до 5 июля включительно. В течение 2023 года компания каждый квартал платила дивиденды. С учетом рекомендованной сегодня выплаты в общей сложности Инарктика заплатит 55 рублей дивидендов за год. #дивиденды",economy,2
"​​Европлан определился с размером дивидендов. Совет директоров лизинговой компании рекомендовал выплатить дивиденды за 2023 год. Размер выплаты — 25 рублей на акцию. Доходность — около 2,4%.. Чтобы получить дивиденды, купить акции нужно до 10 июня включительно. Акционеры будут голосовать за выплату дивидендов на собрании 31 мая.#дивиденды",economy,2
"​​🟢 Деньги не спят. LIVEВ 19:00 стартовал прямой эфир на нашем YouTube-канале «Деньги не спят». Василий Олейник разберет все самое важное, что происходит на российском рынке и в мировой экономике.. Есть вопросы по отдельным акциям? Задавайте в чате трансляции https://www.youtube.com/live/G_x. S3eji. 39k?feature=shared. Запись будет доступна после эфира.",economy,3
"​​🟢 Деньги не спят. LIVEВ 19:00 стартовал прямой эфир на нашем YouTube-канале «Деньги не спят». Василий Олейник и Ирина Ахмадуллина разберут все самое важное, что происходит на российском рынке и в мировой экономике.. Есть вопросы по отдельным акциям? Задавайте в чате трансляции https://www.youtube.com/live/77K1t. Ao. Li. Jw?feature=shared. Запись будет доступна после эфира.",economy,3
"​​⛱️ Чего ждать от рынков в мае? В 19:00 стартовал прямой эфир на нашем нашем YouTube-канале «Деньги не спят». Василий Олейник разберет последствия решения ЦБ для российского рынка, экономики и валют, а также расскажет обо всем самом важном, что происходит с акциями, облигациями и мировой финансовой системой.. Есть вопросы? Задавайте в чате трансляции https://www.youtube.com/live/4wv. THp. Bejl. I?feature=shared. Запись будет доступна после эфира.",economy,3
