description,category,cluster
"Мэр Краснодара отстранил от работы чиновников, ответственных за ликвидацию стихийных свалок Мэр Краснодара Евгений Первышов на планёрке администрации города сообщил о мошенничестве при ликвидации стихийных свалок. Выяснилось, что окружные администрации заключили контракт с подрядчиком, частной фирмой «УБиС», которая по итогам...",society,-1
Перед обстрелом рэперов HammAli & Navai в Липецке сорвали их концерт Во время выступления полиция эвакуировала всех людей из КРК «Мегаполис» из-за звонка о якобы заложенной бомбе,society,-1
"Альтернативный маршрут для передвижения маломобильных пассажиров организован на саратовском железнодорожном вокзале В связи с проведением строительно-монтажных работ на саратовском железнодорожном вокзале был организован альтернативный маршрут для передвижения маломобильных пассажиров. Теперь они могут попасть на вторую и третью платформы через тоннель. Для спуска и подъёма граждан на инвалидных колясках задействуется специальный подъемник–ступенькоход. Устройством управляет сотрудник Центра содействия мобильности ОАО «РЖД», прошедший соответствующую подготовку.",society,-1
В Свердловской области за выходные два человека попали под поезд. Заявление СКР Свердловский следственный отдел на транспорте СКР организовал доследственную проверку по факту травмирования двух человек на обочине возле железнодорожных путей в регионе,society,-1
Первые жертвы тумана - в Мелитополе ДТП на проспекте (фото) Сегодня утром в Мелитополе случилось ДТП на пр. 50-летия Победы с участием двух иномарок.,society,-1
У Офиса президента продолжается акция «Варта на Банковій» В центре Киева возле здания Офиса президента на уице Банковой в понедельник утром продолжается акция Варта на Банковій с требованием к президенту Украины Владимиру Зеленскому не допустить сдачи национальных интересов государства на переговорах лидеров стран нормандского формата в Париже.,society,-1
"Владелец сети популярных гипермаркетов объявил о переезде Владелец сети гипермаркетов «Новатор» Арсен Пономарев подробно рассказал «СуперОмску» о планах по развитию сети гипермаркетов. Как ранее сообщал наш ресурс, предприниматель не отрицает, что торговую точку в Нефтяниках скоро закроют.",society,-1
"Иса Ибрагимов принял участие в Международном молодежном форуме в Абу-Даби В форуме приняли участие министр Чеченской Республики по делам молодёжи Иса Ибрагимов вместе с помощником Главы ЧР Турко Даудовым по поручению Главы ЧР, Героя России Рамзана Ахматовича Кадырова. Об этом сообщили ИА «Грозный-инфом» в Минмолодежи Чечни.",society,-1
"В домах на Шелковичной отключили воду Сегодня, 9 декабря, в Саратове без воды осталась улица Шелковичная. По информации ООО «КВС» жителям нечетных домов от Чапаева до Рахова изменили параметры подачи ресурса. Коммунальщики обещают устранить неполадки и вернуть водоснабжение к 20:00.",society,-1
"Семашко рассказал о ""развязках"" вопросов поставок продовольствия По словам белорусского посла, прерогатива или право закрывать, к примеру, мясокомбинаты или молокозаводы, должно принадлежать главному ветеринарному врачу Беларуси.",society,-1
"Кто в Сочи останется без света: отключения 9 декабря Сегодня, 9 декабря, в список отключений электроэнергии попали несколько улиц. Об этом сообщает пресс-служба «Сочинских электрических сетей». В течение дня без света в связи с неотложными работами останутся следующие улицы: Карла Либкнехта, Воровского, Цветной бульвар, ул. Роз, ул. Гагарина, ул. Красноармейская, ул. Чайковского, пер. Заводской, ул. Пластунская, ул. Дагомысская; в поселке Вардане: ул. Львовская , ул. Тракторная; в селе Прогрессе – ул. Юбилейная .",society,-1
"В Ростовском филиале МГТУ ГА отметили международный день гражданской авиации 7 декабря, в Международный день гражданской авиации, в Ростовском филиале Московского государственного технического университета гражданской авиации (МГТУ ГА) состоялся День открытых дверей.",society,-1
На территории СКК произошёл пожар В Московском районе города на территории проблемного объекта что-то горит,society,-1
СНБО утвердил основной сценарий реинтеграции Донбасса На закрытом заседании СНБО 7 декабря под председательствованием Зеленского был утвержден один из сценариев развития событий в связи с предстоящей встречей в …,society,-1
"Тараканы и карманный суд: журналисты рассказали, как украинцы переплачивают за сервис в ""Укрзализныце"" Пассажиры поездов ""Интерсити"" переплачивают за питание в ""ВОГ кафе"", а качество продуктов оставляет желать лучшего.",society,-1
"Киев создал в Азовском море новое подразделение из боевых кораблей В состав дивизиона вошли поисково-спасательное судно, буксир и два катера. Они будут базироваться в портах Мариуполя и Бердянска. В состав подразделения должны были войти задержанные Россией катера и",society,-1
Один человек погиб и трое пострадали в ДТП в Богородском районе Женщина получила несовместимые с жизнью травмы.,society,-1
"Подозреваемого в финансировании терроризма задержали в Дагестане ФСБ России, сотрудники Следственного комитета и Росфинмониторинга в Дагестане задержали Сааду Ахмеднабиева, который подозревается в организации сбора денежных средств для международных террористических структур. Об этом сообщает ТАСС со ссылкой на Центр общественных связей ФСБ России.",society,-1
В Донецке активизировалось украинское подполье: фото Журналист Елена Рыковцева обнародовала фото листовки из оккупированного Донецка с поздравлением Вооруженным силам Украины. На сине-желтом фоне написано:,society,-1
"Запорожец выгнал гостей из квартиры на козырек дома Запорожец выгнал гостей из квартиры на козырек дома. В Заводском районе прохожие вызвали ""Кобру"", чтобы снять парочку с козырька",society,-1
В отдалённом районе Улан-Удэ открылась врачебная амбулатория Раньше амбулатория для жителей Тулунжи располагалась в небольшой квартире без тепла и воды,society,-1
В Нефтяниках омичи недовольны нападениями бродячих собак на улицах Девушка разыскивает свидетелей инцидента.,society,-1
В Офисе президента рассказали о графике двусторонних встреч Зеленского в Париже Президент Украины Владимир Зеленский проведет в Париже двустороннюю встречу с президентом Российской Федерации...,society,-1
"В Кремле анонсировали личную встречу Путина и Зеленского Президенты России и Украины Владимир Путин и Владимир Зеленский проведут личную встречу в Париже 9 декабря после того, как закончится саммит в «нормандском формате». Об этом сообщает ТАСС со ссылкой на помощника российского президента Юрия Ушакова.",society,-1
"Помощник президента РФ сообщил о встрече Путина и Зеленского после саммита ""четверки"" Двусторонняя встреча президентов России и Украины Владимира Путина и Владимира Зеленского пройдет после переговоров лидеров ""нормандской четверки"", ее продолжительность будет зависеть от самих глав РФ и Украины, заявил помощник президента РФ Юрий Ушаков.",society,-1
Пробка образовалась на Верхневолжской набережной Автомобилисты объезжают перекрытую площадь Минина и Пожарского.,society,-1
Мошенница обманула саратовского пенсионера на 350 тысяч рублей Во Фрунзенском районе Саратова раскрыли мошенничество,society,-1
"ЭкоЦентр рассказал жителям города о раздельном сборе отходов | АРБУЗ Благотворительность, забота об экологии и прекрасное настроение объединили Астраханцев в первую субботу декабря. В городе прошло сразу два масштабных мероприятия направленных на защиту окружающей среды и помощь нуждающимся. Региональный оператор по обращению с ТКО стал участником благотворительной акции «Сердешный",society,-1
Парковка в Москве на новогодние праздники будет бесплатной Водителей попросили быть внимательными и оставлять свои автомобили только в разрешенных для этого местах.,society,-1
54 специалиста из Иркутской области стали выпускниками президентской программы Дипломы о профессиональной переподготовке вручили в правительстве региона,society,-1
"Про­ку­ра­ту­ра тре­бу­ет ли­шить прав че­ты­рех ал­ко­го­ли­ков из Даль­не­кон­стан­ти­нов­ско­го рай­о­на Дальнеконстантиновская прокуратура требует забрать водительские права у 4 граждан, находящихся на учете у нарколога, сообщается на сайте прокуратуры Нижегородской области.",society,-1
"Извержение вулкана в Новой Зеландии унесло жизнь человека Местная полиция считает, что погибших может быть намного больше, так как в момент извержения рядом с вулканом находились десятки человек",society,-1
"У Путина заявили, что встреча с Зеленским будет уже после саммита Встреча президента России Владимира Путина с президентом Украины Владимиром Зеленским запланирована на понедельник уже после переговоров в ""нормандском формате"". Об этом заявил журналистам помощник главы",society,-1
"В Кирове бухгалтер похитил из областного бюджета более 1,6 млн рублей Возбуждено уголовное дело в отношении сотрудника одного из Управлений образования Кировской области. Об этом в понедельник, 9 декабря, сообщили в пресс-службе управления ФСБ региона. По данным следствия, преступление было совершено в январе 2016 года. Бухгалтер одного из Управлений образования Кировской области решил",society,-1
"Сергей Шойгу заявил о значительном усилении воздушного компонента ядерной триады В ходе селекторного совещания в Министерстве обороны Российской Федерации глава ведомства Сергей Кужугетович Шойгу заявил о значительном усилении воздушной составляющей ядерной триады государства. Как отметил военачальник, способствовало этому обновление парка авиации дальнего действия и разработка",society,-1
"В российских регионах объявляют 31 декабря выходным днем без оглядки на Кремль В субъектах РФ пошла волна объявления 31 декабря выходным днем. Уже несколько губернаторов приняли такое решение, опираясь на мнение жителей своих регионов.",society,-1
"Еще двоих погибших обнаружили под завалами сгоревшего Одесского колледжа Как сообщает пресс-служба ГСЧС, число погибших при пожаре в здании Одесского колледжа экономики, права и гостинично-ресторанного бизнеса возросло до 12 человек.",society,-1
"Показываем, что происходило утром на Свердловской после потопа В Красноярске из-за коммунальной аварии затопило улицу Свердловскую. Рано утром автомобилям пришлось пробираться через гигантскую лужу. Вода залила проезжую часть и пешеходный переход. А чтобы ее осушить на место приехали сразу три спецмашины, и все равно процесс занял пару часов.",society,-1
"​В Киеве парень выбросился с 8-го этажа 22-летний парень выбросился из окна квартиры, расположенной на 8 этаже. ЧП произошло в Днепровском районе Киева утром в понедельник, 9 декабря.",society,-1
"«Россия-1» показала сюжет с расплакавшейся перед Путиным девушкой из Бурятии «Девчонкам привет. Ждём вас», - сказал волонтёру из Бурятии Владимир Путин.",society,-1
"В гордуме Екатеринбурга начинается второе чтение бюджета В городской думе Екатеринбурга на этой неделе начнется второе чтение проекта бюджета города на 2020 год.В течение всей недели поправки к проекту бюджета будут рассматривать профильные комиссии. Последней из всех проект должна будет рассмотреть и утвердить комиссия по бюджету — ее заседание назначено на 12 декабря 2019 года.На прошлой неделе гордума приняла бюджет в первом чтении. Администрация города договорилась с депутатами, что ко второму чтению в бюджете появятся дополнительные расходы на расселение ветхого и аварийного жилья и на некоторые другие цели.Окончательный вариант бюджета должен быть рассмотрен думой 17 декабря 2019 года. В этот день пройдет последнее заседание гордумы в этом году.",society,-1
"Конвоиры банды ГТА получили условные сроки за перестрелку в суде Суд в Подмосковье приговорил к условным срокам от 1,5 до 3 лет полицейских, которые конвоировали подсудимых по уголовному делу ""банды GTA"" и допустили попытку побега и перестрелку.",society,-1
"В школах Башкирии сформируют академические классы В школах Башкирии в 2020 году сформируют академические классы. Запуск нововведения состоится в рамках нацпроекта «Образование», инициированного майским указом президента России Владимира Путина, передает пресс-служба Минобра.",society,-1
"Полицейских, допустивших попытку побега участников ""банды GTA"", осудили условно Красногорский городской суд в понедельник признал четверых подмосковных полицейских виновными в халатности, из-за которой несколько членов так называемой банды GTA попытались совершить побег из-под стражи в Мособлсуде.",society,-1
"4 пассажира автобуса постарадали в ДТП с вывозившим снег «КамАЗом» в Мурманске Как стало известно Nord-News, в результате ДТП пострадали четыре пассажира автобуса №10. Всех пострадавших доставили в медучреждения для обследования",society,-1
